ID,timestamp,timediff,X1,X2,X5,X7,X8
2154,30344,20,48.927,49.877,,48.927,
3487,30346,10,48.927,49.877,,48.927,
4853,30348,11,48.617,49.877,,48.927,
866,30351,10,48.617,48.927,,48.927,46.087
6102,30354,10,48.617,48.927,51.137,49.247,46.087
2155,30354,10,48.617,48.927,51.137,49.247,46.087
3488,30357,11,47.987,48.927,51.137,49.247,46.087
4854,30358,10,47.987,48.927,51.137,49.247,46.087
867,30361,10,47.987,49.087,51.137,49.247,47.827
6103,30364,10,47.987,49.087,52.397,50.187,47.827
2156,30365,11,47.987,49.087,52.397,50.187,47.827
3489,30367,10,49.397,49.087,52.397,50.187,47.827
4855,30368,10,49.397,49.087,52.397,50.187,47.827
868,30372,11,49.397,,52.397,50.187,48.457
6104,30375,11,49.397,,53.187,52.867,48.457
3490,30377,10,49.397,,53.187,52.867,48.457
4856,30379,11,49.087,,53.187,52.867,48.457
869,30382,10,49.087,50.977,53.187,52.867,47.667
6105,30385,10,49.087,50.977,53.027,53.027,47.667
2157,30385,20,49.087,50.977,53.027,53.027,47.667
3491,30387,10,49.087,50.977,53.027,53.027,47.667
4857,30389,10,48.297,50.977,53.027,53.027,47.667
870,30392,10,48.297,53.027,53.027,53.027,48.297
2158,30395,10,48.297,53.027,,52.077,48.297
6106,30395,10,48.297,53.027,,52.077,48.297
3492,30398,11,50.347,53.027,,52.077,48.297
4858,30399,10,50.347,53.027,,52.077,48.297
871,30402,10,50.347,52.397,,52.077,50.507
6107,30405,10,50.347,52.397,55.397,52.717,50.507
2159,30406,11,50.347,52.397,55.397,52.717,50.507
3493,30408,10,51.767,52.397,55.397,52.717,50.507
4859,30409,10,51.767,52.397,55.397,52.717,50.507
872,30413,11,51.767,,55.397,52.717,49.397
6108,30416,11,51.767,,54.917,,49.397
3494,30418,10,51.767,,54.917,,49.397
873,30423,10,50.027,52.717,54.917,,48.457
6109,30426,10,50.027,52.717,55.237,52.397,48.457
2160,30426,20,50.027,52.717,55.237,52.397,48.457
3495,30428,10,50.027,52.717,55.237,52.397,48.457
4861,30430,10,50.817,52.717,55.237,52.397,48.457
874,30433,10,50.817,52.237,55.237,52.397,48.297
6110,30436,10,50.817,52.237,54.127,51.607,48.297
2161,30437,11,50.817,52.237,54.127,51.607,48.297
3496,30439,11,48.927,52.237,54.127,51.607,48.297
4862,30440,10,48.927,52.237,54.127,51.607,48.297
875,30444,11,48.927,,54.127,51.607,
3497,30449,10,48.927,,53.497,48.767,
4863,30450,10,48.297,,53.497,48.767,
876,30454,10,48.297,49.877,53.497,48.767,47.347
6112,30457,11,48.297,49.877,52.867,,47.347
2163,30457,10,48.297,49.877,52.867,,47.347
3498,30459,10,48.297,49.877,52.867,,47.347
4864,30461,11,49.087,49.877,52.867,,47.347
877,30464,10,49.087,50.977,52.867,,47.197
6113,30467,10,49.087,50.977,,50.667,47.197
2164,30467,10,49.087,50.977,,50.667,47.197
4865,30471,10,51.297,50.977,,50.667,47.197
878,30474,10,51.297,53.187,,50.667,50.507
6114,30477,10,51.297,53.187,55.707,53.027,50.507
2165,30478,11,51.297,53.187,55.707,53.027,50.507
3500,30480,10,52.237,53.187,55.707,53.027,50.507
4866,30481,10,52.237,53.187,55.707,53.027,50.507
879,30485,11,52.237,53.347,55.707,53.027,50.347
6115,30487,10,52.237,53.347,56.337,53.497,50.347
2166,30488,10,52.237,53.347,56.337,53.497,50.347
3501,30490,10,52.237,53.347,56.337,53.497,50.347
4867,30491,10,50.817,53.347,56.337,53.497,50.347
880,30495,10,50.817,,56.337,53.497,48.617
6116,30498,11,50.817,,,51.767,48.617
4868,30502,11,50.187,,,51.767,48.617
881,30505,10,50.187,51.927,,51.767,47.827
6117,30508,10,50.187,51.927,54.917,50.347,47.827
