ID,timestamp,X1,X2,X5,X7,X8
4786,29660,63.277,65.637,65.487,65.797,56.657
799,29663,63.277,65.637,65.487,65.797,56.807
6039,29666,63.277,65.637,65.167,65.487,56.807
2093,29667,63.277,65.637,65.167,65.487,56.807
3421,29669,62.957,65.637,65.167,65.487,56.807
4787,29670,62.957,65.637,65.167,65.487,56.807
800,29674,62.957,65.487,65.167,65.487,56.657
6040,29676,62.957,65.487,65.167,65.957,56.657
2094,29677,62.957,65.487,65.167,65.957,56.657
3422,29679,62.957,65.487,65.167,65.957,56.657
4788,29680,63.117,65.487,65.167,65.957,56.657
801,29684,63.117,65.637,65.167,65.957,57.287
2095,29687,63.117,65.637,65.167,65.637,57.287
6041,29687,63.117,65.637,65.167,65.637,57.287
3423,29689,63.117,65.637,65.167,65.637,57.287
4789,29691,62.807,65.637,65.167,65.637,57.287
802,29694,62.807,65.007,65.167,65.637,57.127
6042,29697,62.807,65.007,65.007,65.487,57.127
2096,29697,62.807,65.007,65.007,65.487,57.127
3424,29700,63.117,65.007,65.007,65.487,57.127
4790,29701,63.117,65.007,65.007,65.487,57.127
803,29704,63.117,64.067,65.007,65.487,55.397
6043,29707,63.117,64.067,65.007,63.747,55.397
2097,29708,63.117,64.067,65.007,63.747,55.397
3425,29710,62.647,64.067,65.007,63.747,55.397
4791,29711,62.647,64.067,65.007,63.747,55.397
804,29715,62.647,63.587,65.007,63.747,56.027
6044,29717,62.647,63.587,65.327,63.117,56.027
2098,29718,62.647,63.587,65.327,63.117,56.027
3426,29720,62.647,63.587,65.327,63.117,56.027
4792,29721,61.537,63.587,65.327,63.117,56.027
805,29725,61.537,63.117,65.327,63.117,55.077
2099,29728,61.537,63.117,64.697,62.327,55.077
6045,29728,61.537,63.117,64.697,62.327,55.077
3427,29730,61.537,63.117,64.697,62.327,55.077
4793,29732,61.067,63.117,64.697,62.327,55.077
806,29735,61.067,62.807,64.697,62.327,55.237
6046,29738,61.067,62.807,64.377,62.017,55.237
2100,29738,61.067,62.807,64.377,62.017,55.237
3428,29741,60.277,62.807,64.377,62.017,55.237
4794,29742,60.277,62.807,64.377,62.017,55.237
807,29745,60.277,62.957,64.377,62.017,55.547
6047,29748,60.277,62.957,64.857,61.697,55.547
2101,29749,60.277,62.957,64.857,61.697,55.547
3429,29751,60.277,62.957,64.857,61.697,55.547
4795,29752,60.277,62.957,64.857,61.697,55.547
808,29756,60.277,62.177,64.857,61.697,55.237
2102,29759,60.277,62.177,64.857,61.697,55.237
